,video,cam,start,end,question,answer,a1,a2,a3,a4,a5,label
279,5,D,44,50,what is the man on my left side holding,bottle,apple,bottle,can,bike,shelf,1
280,5,D,140,167,what am I holding in hands,snack,apple,picture on the wall,phone,snack,white pillows,3
281,5,D,239,254,what am I holding in hands,snack,black pillows,cup,bottle,phone,snack,4
282,5,D,448,459,what is the man in gray clothes doing,stand up,put laptop on desk,walk,stand up,draw on whiteboard,erase whiteboard,2
283,5,D,455,459,what is beside the man in gray clothes,chair,toy,door,white pillows,camera,chair,4
284,5,D,502,513,what is man in red clothes doing,sit down,put laptop on desk,close the door,erase whiteboard,eat salad,sit down,4
285,5,D,502,513,how many people can I see in the scene,two,zero,one,two,three,four,2
286,5,D,655,670,what is the man in red shirt doing,get snack,get snack,eat,erase the whiteboard,get a box from shelf,sit down,0
287,5,D,685,695,what is the man in blue clothes doing,get snack,walk to the desk,type on computer,walk,open snack,get snack,4
288,5,D,723,737,what is the man in blue clothes doing,get snack,stand,open can,close the door,get snack,pass book,3
289,5,D,851,856,what is man in gray clothes doing,eat snack,write on whiteboard,open box,get can on desk,eat snack,read book,3
290,5,D,851,856,how many people can I see in the scene,three,zero,one,two,three,four,3
291,5,D,898,903,what is the man in red clothes holding,can,cup,can,phone,white pillows,black pillows,1
292,5,D,898,903,what is the color of the can holding by the man in red clothes,black,black,gray,brown,blue,red,0
293,5,D,898,903,how many cans are on the table,two,zero,one,two,three,four,2
294,5,D,934,939,what is in front of me,chair,phone,can,white pillows,picture,chair,4
295,5,D,965,969,what is on the table,monitor,desk,cup,white pillows,monitor,bike,3
296,5,D,1000,1012,what is the man holding in hand,can,pen,can,snack bar,toy,phone,1
297,5,D,1000,1012,what is the color of the can holding by the man in red clothes,black,blue,gray,red,green,black,4
298,5,D,1012,1025,what is the man doing in front of me,drink,walk to the desk,play phone,walk around,pick up the toy,drink,4
299,5,D,1109,1114,what is the man on my right side doing,get snack,close the door,eat salad,get a box from shelf,close bottle,get snack,4
300,5,D,1113,1126,what is the man in front of me doing,get snack,have snack,open box,turn on computer,get snack,get can,3
301,5,D,1121,1142,what is the man in front of me doing,eat snack,put can on desk,eat snack,close the door,erase the whiteboard,open snack bag,1
302,5,D,1140,1148,what is the man in blue clothes holding,phone,apple,shelf,phone,bottle,monitor and computer,2
303,5,D,1177,1181,what is the man in blue clothes holding,phone,can,door,camera,snack,phone,4
304,5,D,1203,1208,what is the man in front of me holding,snack,camera,whiteboard,picture,snack,apple,3
305,5,D,1226,1247,what is the man in front of me doing,drink,put laptop on desk,open bottle,throw pillows,erase the whiteboard,drink,4
306,5,D,103,107,what am I holding in hands,snack bar,bike,apple,cup,picture on the wall,snack bar,4
307,5,D,225,228,what is behind the man in dark blue clothes on my left hand side,shelf,machine,can,toy,desk,shelf,4
308,5,D,315,324,how many snack in my hands,two,zero,one,two,three,four,2
309,5,D,1199,1205,what is the color of the chair on my left hand side ,red,black,red,brown,green,gray,1
310,5,D,257,268,what am I doing,get snack,stand up,draw,get snack,open bottle,point to a camera,2
311,5,D,257,268,what is the color of the can on desk,black,black,blue,brown,red,gray,0
312,5,M,2,11,what am I holding in hands,bottle,shelf,bottle,pen,cup,tv,1
313,5,M,15,23,what is the man in red clothes doing,get snack,get snack,pass book,put laptop on desk,type on keyboard,throw toy,0
314,5,M,18,27,what am I doing,drink,open snack bag,sit down,drink,shake hands,look at the whiteboard,2
315,5,M,18,27,what is the man in red clothes holding,snack,snack,print machine,box,machine,book,0
316,5,M,16,23,what is the color of the can in front of the man in gray clothes ,black,brown,red,gray,black,blue,3
317,5,M,79,88,what is the man in gray clothes doing,drink,point on whiteboard,drink,get snack,put can on desk,draw,1
318,5,M,82,89,what is the man in red clothes holding,snack,machine,snack bar,picture,white pillows,snack,4
319,5,M,82,89,who is sitting in middle of three people,the man in red clothes,a man in blue,the man in white clothes,the man in blue clothes,the man in red clothes,the man in red shirt,3
320,5,M,82,89,who is hold a snack bag,the man in red clothes,the man in clothes clothes,a man in gray clothes,the man in red clothes,the man on my right side,a man in blue,2
321,5,M,82,89,what is the color of the can in front of the man in gray clothes ,black,red,green,black,brown,gray,2
322,5,M,86,91,what is the color of the can holding by the man in gray clothes ,green,red,gray,blue,green,brown,3
323,5,M,133,141,what is hold by the man on right side of me,snack,snack,computer,print machine,desk,monitor and computer,0
324,5,M,133,141,what is the man on right side of me holding,snack,pillows,shelf,can,whiteboard,snack,4
325,5,M,132,140,what is the man in white clothes holding,snack,toy,pillows,snack,machine,apple,2
326,5,M,152,158,what is behind the man in red clothes,whiteboard,machine,can,phone,computer,whiteboard,4
327,5,M,152,158,what is the man in gray clothes doing,drink,walk,drink,put laptop on desk,walk around,type on laptop,1
328,5,M,198,205,what am I holding in hands,can,door,monitor and computer,snack bar,monitor,can,4
329,5,M,199,204,what is the color of the can holding by me,black,brown,red,blue,black,green,3
330,5,M,261,270,what is man in white clothes doing,get snack,eat,erase whiteboard,close bottle,write on whiteboard,get snack,4
331,5,M,410,415,how many people can I see in the scene,three,zero,one,two,three,four,3
332,5,M,435,439,what is the man in red clothes doing,stand up,eat salad,walk to the door,throw toy to another man,stand up,put laptop on desk,3
333,5,M,438,445,what is behind the man who is standing,whiteboard,whiteboard,snack bar,machine,monitor,chair,0
334,5,M,438,445,what is behind the man who is in red clothes,whiteboard,whiteboard,bike,white pillows,black pillows,door,0
335,5,M,438,445,what is beside the man in gray clothes,chair,camera,chair,picture,snack bar,black pillows,1
336,5,M,454,458,what is behind the man in white clothes,monitor,box,snack bar,computer,monitor,black pillows,3
337,5,M,454,458,what is the man in gray clothes doing,stand up,close the door,open box,walk to the desk,turn on computer,stand up,4
338,5,M,454,458,what is the man on my left side doing,stand up,stand up,drink,throw pillows,get a box from shelf,open bottle,0
339,5,M,460,468,how many cans are on the table,two,zero,one,two,three,four,2
340,5,M,480,490,how many people can I see in the scene,three,zero,one,two,three,four,3
341,5,M,480,490,who is sitting in middle of three people,the man in white clothes,the man in brown clothes,a man in dark clothes,the man in clothes clothes,the man in white clothes,the man in front of whiteboard,3
342,5,M,500,514,what is the man in red clothes doing,sit down,sit down,open box,pick up the toy,throw pillows,throw toy to another man,0
343,5,M,500,514,who is stand up,the man in gray clothes,the man in dark blue clothes,the man in blue clothes,the man in clothes clothes,the man in red shirt,the man in gray clothes,4
344,5,M,645,661,what is the man in red clothes doing,get snack,get can,erase the whiteboard,throw pillows,get snack,point to a camera,3
345,5,M,689,700,what am I doing,have snack,close bottle,get snack,have snack,use phone,turn on computer,2
346,5,M,702,708,what is behind the man in white clothes,whiteboard,whiteboard,book,cup,toy,snack bar,0
347,5,M,703,709,what is behind the man in gray clothes,door,bike,pen,pillows,phone,door,4
348,5,M,703,709,who is sitting beside the down,the man in gray clothes,the man on my right side,the man in black jacket,a man in dark clothes,the man in red clothes,the man in gray clothes,4
349,5,M,724,733,what am I doing,get snack,shake hands,get snack,walk around,draw,eat salad,1
350,5,M,740,755,who is looking at me in front,the man in white clothes,the man in red shirt,the man in clothes clothes,the man on my left side,me,the man in white clothes,4
351,5,M,759,765,who is holding a snack bag,the man in red clothes,a man in blue shirt,the man on my right side,me,the man in red clothes,the man in dark blue,3
352,5,M,804,807,who is getting snack,the man on my right side,the man on my left side,the man in light blue shirt,the man in dark blue clothes,the man in red clothes,the man on my right side,4
353,5,M,809,822,who is getting snack,the man on my left side,two man standing in front of me,the man in brown clothes,a man in blue shirt,the man on my left side,the man in gray clothes,3
354,5,M,886,892,who is holding a black can,the man in red clothes,a man in dark clothes,the man in black jacket,the man in red clothes,the man in blue shirt,two man standing in front of me,2
355,5,M,972,980,what is the man in red clothes doing,open can,eat,type on computer,open can,eat snack,have snack,2
356,5,M,980,995,what is the man in red clothes doing,drink,look at the whiteboard,open snack,walk to the door,stand,drink,4
357,5,M,1125,1132,what am I holding in hand,phone,snack bar,phone,monitor and computer,tv,chair,1
358,5,M,1135,1142,what am I holding in hand,phone,snack bar,box,phone,white pillows,apple,2
359,5,M,36,42,what am I holding in hand,bottle,laptop,picture on the wall,bottle,tv,phone,2
360,5,M,109,116,how many bottle are on the table,zero,zero,one,two,three,four,0
361,5,M,208,215,what is the color of the can I hold,black,red,gray,green,black,blue,3
362,5,M,289,295,what is behind the man in red clothes,whiteboard,laptop,whiteboard,black pillows,monitor and computer,book,1
363,5,M,508,512,what is on the desk behind the man in red clothes,monitor,desk,monitor,bottle,machine,print machine,1
364,5,M,542,546,how many people can I see in the scene,three,zero,one,two,three,four,3
365,5,M,1143,1163,what am I holding in left hand,phone,phone,picture,bike,pillows,snack bar,0
366,6,D,29,38,how many people can I see in the scene,two,zero,one,two,three,four,2
367,6,D,102,107,what can I see in the scene,chair,bottle,chair,pillows,machine,bike,1
368,6,D,285,300,how many people can I see in the scene,one,zero,one,two,three,four,1
369,6,D,423,427,what can I see in the scene,chair,white pillows,chair,camera,tv,box,1
370,6,D,486,492,what am I holding in hands,toy,camera,desk,toy,pen,snack,2
371,6,D,536,540,how many people can I see in the scene,two,zero,one,two,three,four,2
372,6,D,538,542,who is standing in front of me,the man in blue clothes,the man in dark blue,the man in blue clothes,the man in black jacket,the man in red shirt,me,1
373,6,D,551,556,who is standing on my left side,the man in clothes clothes,the man in red clothes,me,the man in clothes clothes,the man in white clothes,the man on my right side,2
374,6,D,551,556,who is standing in front of me,the man in blue clothes,the man in blue clothes,the man in front of the door,the man in clothes clothes,a man in gray clothes,a man in dark clothes,0
375,6,D,720,726,what is the object on left of the man in blue clothes,desk,door,box,whiteboard,desk,apple,3
376,6,D,745,755,who is walking into the scene,the man in red clothes,a man in gray clothes,the man in red clothes,two man standing in front of me,the man in front of whiteboard,the man in blue shirt,1
377,6,D,755,765,how many people can I see in the scene,three,zero,one,two,three,four,3
378,6,D,821,834,who is walking out of the scene,the man in red clothes,the man in green shirt,the man in front of whiteboard,the man in red clothes,the man in gray clothes,a man in gray clothes,2
379,6,D,910,916,who is play a toy in hands,the man in red clothes,the man in red clothes,a man in gray clothes,the man in white clothes,the man in front of whiteboard,the man in dark blue,0
380,6,D,910,916,what is the man in front of me doing,play toy,mix salad,pass pillows,open snack bag,erase whiteboard,play toy,4
381,6,D,986,992,what am I playing,toy,pillows,monitor and computer,whiteboard,toy,snack,3
382,6,D,1092,1105,what is the man in red clothes doing,sit down,get snack,pass book,look at phone,shake hands,sit down,4
383,6,D,394,400,what is the object placed on the desk,toy,toy,pillows,picture,apple,can,0
384,6,D,394,400,who is standing in front of sofa,the man in red clothes,the man in red shirt,the man in clothes clothes,a man in blue shirt,the man in red clothes,a man in blue,3
385,6,D,654,658,who is standing in front of door,the man in blue clothes,the man in black jacket,the man in brown clothes,the man in gray clothes,the man in white clothes,the man in blue clothes,4
386,6,D,740,745,who is standing in front of door,the man in gray clothes,the man in front of whiteboard,the man in black jacket,a man in dark clothes,the man in blue shirt,the man in gray clothes,4
387,6,D,929,939,who is walking in front of me,the man in red clothes,the man in clothes clothes,the man in red clothes,a man in blue shirt,the man in white clothes,the man in red shirt,1
388,6,D,238,242,what am I playing with,toy,machine,print machine,whiteboard,toy,cup,3
389,6,D,237,241,what is the color of the toy in my hands,blue,brown,blue,gray,black,red,1
390,6,D,492,497,what is the color of the toy in my hands,blue,red,blue,green,gray,brown,1
391,6,D,620,626,how many people can I see in the scene,zero,zero,one,two,three,four,0
392,6,D,709,715,how many people can I see in the scene,two,zero,one,two,three,four,2
393,6,D,778,785,how many people can I see in the scene,three,zero,one,two,three,four,3
394,6,D,1004,1011,what is the man doing on my left side,throw toy,look at phone,close the door,throw toy,eat salad,open snack,2
395,6,D,1004,1011,what is the man throwing to another man in front of me,toy,chair,desk,laptop,shelf,toy,4
396,6,D,1018,1023,what is the man in blue clothes doing,throw toy,throw toy,eat snack,play phone,open snack bag,sit,0
397,6,D,571,576,what is on the desk,apple,desk,monitor,can,apple,phone,3
398,6,D,1107,1112,who is sitting on chair,the man in red shirt,the man on my left side,the man in red shirt,the man in green shirt,a man in blue shirt,two man standing in front of me,1
399,6,D,275,338,what is the man in red clothes doing,play toy,type on computer,sit,close the door,type on keyboard,play toy,4
400,6,D,338,358,what are on the sofa behind the man in red shirt,pillows,pillows,snack bar,toy,monitor,camera,0
401,6,D,360,375,how many pillows are on the blue sofa,two,zero,one,two,three,four,2
402,6,D,386,410,what is the color of the sofa in the room,blue,brown,green,red,gray,blue,4
403,6,D,471,495,how many people are standing around me,three,zero,one,two,three,four,3
404,6,D,472,491,what is the man in blue clothes wearing,camera,bottle,chair,box,camera,can,3
405,6,D,584,595,what is the man in blue clothes wearing,camera,snack bar,pillows,camera,cup,bottle,2
406,6,D,800,823,how many people are standing around me,three,zero,one,two,three,four,3
407,6,D,821,850,what is the object beside the sofa ,print machine,monitor,print machine,toy,door,phone,1
408,6,D,843,866,how many pillows are on the sofa,two,zero,one,two,three,four,2
409,6,D,1106,1136,how many people are sitting on chair,one,zero,one,two,three,four,1
410,6,M,10,21,how many people can I see in the scene,three,zero,one,two,three,four,3
411,6,M,10,11,what is placed on the wall,tv,apple,whiteboard,tv,print machine,computer,2
412,6,M,78,86,what am I holding in hands,snack,laptop,apple,shelf,snack,bike,3
413,6,M,78,86,what is mounted on the wall,tv,whiteboard,tv,phone,snack bar,bike,1
414,6,M,122,134,what is the object the man in gray clothes picking from desk,apple,apple,white pillows,whiteboard,machine,box,0
415,6,M,133,138,what is the man in gray clothes holding in hands,apple,can,machine,apple,shelf,pillows,2
416,6,M,140,145,who is standing on my right side,the man in red clothes,a man in dark blue clothes,a man in blue,the man in red clothes,the man in green shirt,the man in clothes clothes,2
417,6,M,194,207,what is the object the man in gray clothes putting on desk,apple,cup,monitor and computer,shelf,apple,camera,3
418,6,M,257,265,what am I holding in hands,snack,can,snack,picture,apple,monitor and computer,1
419,6,M,261,270,what am I doing,have snack,close the door,have snack,read book,walk around,open can,1
420,6,M,250,254,what is placed on the wall,picture,bottle,shelf,pillows,desk,picture,4
421,6,M,357,362,who is holding a toy in hand,the man in red clothes,the man in white clothes,a man in blue shirt,the man in light blue shirt,the man in clothes clothes,the man in red clothes,4
422,6,M,357,362,what is the object in front of me,chair,chair,snack bar,snack,apple,pen,0
423,6,M,417,425,what am I holding in hands,toy,computer,snack,can,whiteboard,toy,4
424,6,M,483,488,what is the man in front of me holding in hands,toy,whiteboard,picture on the wall,toy,can,box,2
425,6,M,530,535,who is standing in front of door,the man in red clothes,the man in red clothes,the man in red shirt,two man standing in front of me,the man in dark blue,the man in front of the door,0
426,6,M,536,540,who is walking away from scene,the man in red clothes,the man in dark blue,the man in clothes clothes,a man in dark blue clothes,the man in white clothes,the man in red clothes,4
427,6,M,710,718,what am I looking at,picture on the wall,bottle,snack,toy,picture on the wall,shelf,3
428,6,M,770,778,what are we looking at,picture on the wall,picture on the wall,computer,print machine,snack bar,tv,0
429,6,M,778,788,what is the man on my right side looking at,picture on the wall,pillows,pen,bike,cup,picture on the wall,4
430,6,M,961,970,what is the man in front of me doing,play toy,look at the whiteboard,play toy,pick up the toy,open bottle,turn on computer,1
431,6,M,980,989,who is passing a toy to another man,the man in gray clothes,the man in black jacket,a man in gray clothes,the man in gray clothes,the man in light blue shirt,the man in front of whiteboard,2
432,6,M,990,997,who is throwing a toy,the man in front of the door,the man in brown clothes,the man in front of the door,the man in red clothes,the man in white clothes,a man in blue,1
433,6,M,1005,1009,who is throwing a toy to me,the man in red clothes,the man in red clothes,a man in gray clothes,the man in black jacket,the man on my left side,a man in dark clothes,0
434,6,M,1016,1021,what am I doing,throw toy to another man,get snack,eat salad,drink,throw toy to another man,get a box from shelf,3
435,6,M,1031,1042,what is the man in front of the door doing,pick up the toy,get a box from shelf,pick up the toy,erase whiteboard,type on keyboard,stand,1
436,6,M,1127,1135,who is holding a toy in hand,the man in gray clothes,me,a man in dark blue clothes,the man in gray clothes,a man in blue,the man on my right side,2
437,6,M,40,50,how many people can I see in the scene,three,zero,one,two,three,four,3
438,6,M,62,68,how many people can I see in the scene,two,zero,one,two,three,four,2
439,6,M,181,186,what is the man in gray clothes holding in hands,apple,camera,white pillows,box,toy,apple,4
440,6,M,271,277,what am I holding in hands,snack,computer,bike,chair,snack,monitor and computer,3
441,6,M,727,728,what is mounted on the wall,picture,toy,black pillows,picture,bottle,chair,2
442,6,M,964,968,what is the man holding in hands in gray clothes,toy,can,camera,toy,cup,phone,2
443,6,M,27,56,how many people are standing in the room,three,zero,one,two,three,four,3
444,6,M,276,320,what am I doing,have snack,use phone,throw toy,sit down,type on computer,have snack,4
445,6,M,435,461,what am I holding in hands,toy,monitor and computer,picture on the wall,toy,computer,cup,2
446,6,M,472,491,what is the man in front of me wearing on jacket,camera,whiteboard,white pillows,picture,camera,chair,3
447,6,M,526,540,how many people are standing in the room,three,zero,one,two,three,four,3
448,6,M,1022,1050,what are we doing,throw toy to another man,get snack,throw toy to another man,walk to the door,stand up,read book,1
449,7,M,18,22,how many people can I see in the scene,three,zero,one,two,three,four,3
450,7,M,15,24,who is standing on my left side,the man in red clothes,a man in blue shirt,the man in gray clothes,the man in red clothes,the man in white clothes,the man in clothes clothes,2
451,7,M,627,645,what is the man in front of me doing,walk to the door,get can,throw pillows,sit,walk to the door,sit down,3
452,7,M,687,700,what is the man on my left side doing,sit down,put can on desk,drink,walk,type on keyboard,sit down,4
453,7,M,708,718,what am I doing,walk to the desk,eat snack,look at the whiteboard,open snack bag,walk to the desk,point to a camera,3
454,7,M,717,722,what is placed on the desk,computer,pen,whiteboard,computer,snack,apple,2
455,7,M,779,785,what am I doing,walk to the door,open snack bag,walk to the door,drink,walk,erase whiteboard,1
456,7,M,792,798,where am I ,kitchen,kitchen,draw,black pillows,pass book,toy,0
457,7,M,818,823,how many people are in the room,three,zero,one,two,three,four,3
458,7,M,848,858,what am I doing,sit down,draw on whiteboard,get a box from shelf,point on whiteboard,read book,sit down,4
459,7,M,993,1000,what is the man in front of me doing,walk to the desk,shake hands,open snack bag,eat,throw pillows,walk to the desk,4
460,7,M,1012,1020,what is the man in gray clothes doing,sit down,have snack,throw toy,sit down,shake hands,stand up,2
461,7,M,1122,1126,who is sitting on right side of the door,the man in red clothes,a man in blue shirt,the man in red clothes,the man in dark blue clothes,the man in blue shirt,the man in front of the door,1
462,7,M,58,70,what is the man playing with,phone,snack bar,machine,laptop,cup,phone,4
463,7,M,134,139,what is the man playing with,phone,phone,camera,snack,desk,picture,0
464,7,M,149,154,what is on the desk behind the man in front of me,monitor,monitor,bike,shelf,phone,laptop,0
465,7,M,822,828,what am I doing,walk to the door,walk to the door,eat snack,play phone,erase the whiteboard,put laptop on desk,0
466,7,M,95,115,what is the man doing beside the desk,play phone,eat salad,play phone,sit down,open snack,throw pillows,1
467,7,M,294,329,what is the man in front of me doing,point to a camera,point to a camera,eat snack,eat,point on whiteboard,turn on computer,0
468,7,M,330,345,what is the man wearing on his jacket,camera,cup,black pillows,camera,shelf,computer,2
469,7,M,413,422,where does the man in front of me put his hands,pocket,get snack,pocket,whiteboard,get can on desk,put laptop on desk,1
470,7,M,639,655,what is the man in front of me doing,walk to the door,point to a camera,walk to the door,pass pillows,use phone,put can on desk,1
471,7,M,631,675,what is the man doing in the room,walk around,draw on whiteboard,type on keyboard,walk around,walk,stand,2
472,7,M,720,735,what am I doing,walk around,walk to the door,walk around,open snack,play toy,walk,1
473,7,M,780,829,what am I doing,walk around,stand,draw,walk around,put laptop on desk,play phone,2
474,7,M,873,903,who is sitting on my right side,a man in gray clothes,a man in gray clothes,two man standing in front of me,the man on my right side,the man in red clothes,a man in blue shirt,0
475,7,M,993,1007,where is the man in gray clothes heading,computer desk,a man in dark clothes,sit,eat salad,cup,computer desk,4
476,7,M,994,1010,what is the man in gray clothes doing,turn on computer,get can on desk,pass pillows,stand,turn on computer,put laptop on desk,3
477,7,M,1169,1186,where is the man in red clothes sitting,in front of book shelf,in front of book shelf,point to a camera,get a box from shelf,the man in red clothes,eat snack,0
478,7,D,27,36,how many people can I see in the scene,two,zero,one,two,three,four,2
479,7,D,27,36,what is the man on my right side doing,sit down,eat,type on computer,draw on whiteboard,sit down,pass book,3
480,7,D,38,47,what is the man on my left side doing,sit down,point on whiteboard,draw on whiteboard,stand up,turn on computer,sit down,4
481,7,D,164,173,how many people can I see in the scene,three,zero,one,two,three,four,3
482,7,D,708,718,what am I doing,walk to the desk,walk to the desk,get can,point to a camera,walk around,type on laptop,0
483,7,D,170,176,who is sitting in front of the door,the man in blue clothes,the man in front of the door,the man in dark blue,a man in dark clothes,the man in front of whiteboard,the man in blue clothes,4
484,7,D,192,201,what am I playing in hands,phone,cup,monitor and computer,laptop,snack bar,phone,4
485,7,D,192,201,what am I holding in hands,phone,apple,phone,cup,picture,machine,1
486,7,D,423,429,what is the object on desk behind the man in gray clothes,monitor,monitor,computer,shelf,apple,cup,0
487,7,D,626,632,what is the object on desk on left side of the door,monitor,snack,black pillows,pillows,monitor,phone,3
488,7,D,698,705,what am I doing,sit down,sit down,stand up,get snack,put can on desk,draw on whiteboard,0
489,7,D,713,725,who is walking across the room,the man in blue clothes,the man in front of whiteboard,me,the man in gray clothes,the man in clothes clothes,the man in blue clothes,4
490,7,D,733,745,who is walking across the room,the man in blue clothes,a man in dark blue clothes,the man in blue clothes,me,the man in red clothes,the man in front of the door,1
491,7,D,763,768,who is standing beside a chair,the man in blue clothes,the man in blue clothes,the man in front of whiteboard,me,the man in black jacket,the man in blue shirt,0
492,7,D,776,788,who is walking towards the door,the man in blue clothes,the man in blue clothes,the man in dark blue,a man in blue shirt,the man in red clothes,the man in front of the door,0
493,7,D,814,823,who is walking into the room,the man in blue clothes,the man in blue clothes,the man on my right side,two man standing in front of me,the man in black jacket,the man in red clothes,0
494,7,D,987,998,who is standing up,the man in gray clothes,the man in light blue shirt,a man in gray clothes,the man in front of whiteboard,the man in gray clothes,the man on my right side,3
495,7,D,999,1007,what is the man in gray clothes doing,turn on computer,draw,turn on computer,throw toy to another man,throw toy,read book,1
496,7,D,1057,1066,who is standing up from a chair,the man in red clothes,the man in red clothes,the man in brown clothes,a man in dark clothes,the man in front of whiteboard,the man in light blue shirt,0
497,7,D,1087,1096,who is sitting down by the table,the man in red clothes,me,the man in front of the door,the man in blue clothes,the man in red clothes,the man in dark blue,3
498,7,D,187,192,what am I playing in hands,phone,whiteboard,pillows,tv,door,phone,4
499,7,D,724,728,what is on the desk on my left side,phone,chair,phone,can,print machine,monitor,1
500,7,D,181,209,what am I doing,play phone,shake hands,type on computer,play phone,mix salad,put can on desk,2
501,7,D,301,341,how many people are standing in the room,zero,zero,one,two,three,four,0
502,7,D,638,677,what am I doing,walk around,get snack,open bottle,walk around,walk,throw pillows,2
503,7,D,717,745,what is the man in blue clothes doing,walk around,eat,type on laptop,walk around,pass pillows,have snack,2
504,7,D,780,838,what is the man in blue clothes doing,walk around,walk around,throw toy,erase whiteboard,eat salad,turn on computer,0
505,7,D,988,1021,what is the man in gray clothes doing,walk around,walk around,read book,play toy,open box,pass pillows,0
506,7,D,1175,1191,how many people are sitting in the room,three,zero,one,two,three,four,3
507,7,D,1201,1217,how many people are standing in the room,zero,zero,one,two,three,four,0
508,8,M,21,30,what am I doing,drink,draw on whiteboard,play toy,read book,open bottle,drink,4
509,8,M,60,66,what is the man in gray clothes doing,drink,read book,walk,type on keyboard,drink,eat snack,3
510,8,M,88,95,what is the man in black clothes holding,snack,door,toy,machine,snack,pen,3
511,8,M,95,109,what is placed on the desk,monitor and computer,monitor and computer,apple,camera,box,bike,0
512,8,M,95,109,what is the man in black clothes doing,have snack,have snack,open snack bag,get can on desk,close the door,read book,0
513,8,M,137,145,what is behind the desktop computer,whiteboard,whiteboard,snack,bike,monitor,camera,0
514,8,M,339,346,where is the man entering the room,the door on my right side,the man in brown clothes,a man in dark clothes,the door on my right side,open can,put laptop on desk,2
515,8,M,344,352,how many people can I see in the scene,three,zero,one,two,three,four,3
516,8,M,689,698,who is sitting in front of the monitor,the man in gray clothes,the man in green shirt,the man in blue clothes,a man in blue shirt,the man in gray clothes,a man in dark blue clothes,3
517,8,M,698,706,who is sitting near the door,the man in gray clothes,a man in dark clothes,the man in brown clothes,me,the man in gray clothes,the man in light blue shirt,3
518,8,M,840,846,who is sitting in front of the laptop,the man in gray clothes,a man in dark clothes,the man in gray clothes,a man in blue shirt,the man in black jacket,the man on my left side,1
519,8,M,1731,1743,what is the man on my left side passing to the man on my right side,snack,monitor,snack,toy,black pillows,picture on the wall,1
520,8,M,1931,1944,what is the man on my right side passing to the man on my left side,snack,tv,book,machine,snack,white pillows,3
521,8,M,1983,2010,what am I doing,drink,eat salad,throw toy,drink,write on whiteboard,look at the whiteboard,2
522,8,M,2568,2574,what is the color of the cup holding by the man in gray clothes,green,blue,red,green,gray,brown,2
523,8,M,2585,2595,what is the color of the cup holding by the man in black clothes,red,black,brown,blue,red,gray,3
524,8,M,2663,2672,what am I doing,drink,open bottle,drink,turn on computer,pass book,eat salad,1
525,8,M,2778,2789,what is the color of the snack bag hold by the man in front of me,brown,brown,black,gray,green,red,0
526,8,M,2851,2864,what am I passing to another person,bottle,tv,bottle,box,monitor and computer,monitor,1
527,8,M,2866,2878,what is the man in black clothes doing,drink,close the door,point on whiteboard,stand up,draw on whiteboard,drink,4
528,8,M,3981,3989,what is hold by the man in front of me in hands,phone,phone,book,picture on the wall,snack bar,tv,0
529,8,M,4036,4045,what am I holding in hands,phone,print machine,toy,monitor and computer,bottle,phone,4
530,8,M,4036,4045,what am I looking at,phone,phone,camera,monitor,can,whiteboard,0
531,8,M,4087,4095,what are we looking at,phone,tv,cup,book,whiteboard,phone,4
532,8,M,4087,4095,what are we doing,look at phone,draw on whiteboard,get can on desk,open bottle,eat,look at phone,4
533,8,M,4237,4245,what are we doing,look at phone,erase whiteboard,look at phone,drink,close bottle,stand,1
534,8,M,4469,4478,what is on the desk on my left side,monitor,chair,desk,monitor,apple,bike,2
535,8,M,309,317,how many people can I see in the scene,two,zero,one,two,three,four,2
536,8,M,364,368,who is standing beside the door,the man in gray clothes,me,the man in gray clothes,the man in red shirt,the man in dark blue,two man standing in front of me,1
537,8,M,506,512,who is sitting in front of the monitor,the man in gray clothes,the man in blue clothes,the man in red clothes,the man in black jacket,the man in gray clothes,two man standing in front of me,3
538,8,M,812,833,what am I doing,drink,drink,throw pillows,look at the whiteboard,stand,pass pillows,0
539,8,M,1647,1652,who is holding snack bag,the man in black jacket,the man in black jacket,the man in light blue shirt,the man in red shirt,the man in brown clothes,the man in white clothes,0
540,8,M,1753,1759,who is holding snack bag,the man in gray clothes,the man in blue shirt,the man on my right side,the man in dark blue,the man in gray clothes,the man in blue clothes,3
541,8,M,2608,2613,who is holding a red cup ,the man in black jacket,two man standing in front of me,the man in brown clothes,the man in black jacket,the man in blue shirt,the man in gray clothes,2
542,8,M,2608,2613,what is the color of the cup hold by the man in black jacket,red,green,brown,red,black,blue,2
543,8,M,2834,2844,what am I doing,drink,have snack,pick up the toy,drink,stand,pass pillows,2
544,8,M,2834,2844,what am I holding in hands,bottle,desk,bottle,pillows,book,pen,1
545,8,M,156,162,how many people can I see in the scene,two,zero,one,two,three,four,2
546,8,M,459,467,how many people can I see in the scene,three,zero,one,two,three,four,3
547,8,M,1329,1346,what am I doing,drink,drink,shake hands,open snack,point to a camera,walk to the desk,0
548,8,X,63,69,what am I holding in hands,snack,monitor,whiteboard,snack,picture on the wall,pillows,2
549,8,X,59,73,what is the man in gray clothes doing,drink,open can,write on whiteboard,draw,drink,erase whiteboard,3
550,8,X,350,360,who is standing beside the door,a man in gray clothes,a man in dark clothes,the man on my right side,the man in blue shirt,a man in dark blue clothes,a man in gray clothes,4
551,8,X,514,526,how many people can I see in the scene,three,zero,one,two,three,four,3
